iter	Passed	Remaining
0	107	107737
1	215	107448
2	322	107284
3	432	107647
4	549	109424
5	679	112490
6	782	111005
7	888	110178
8	984	108458
9	1091	108049
10	1188	106848
11	1296	106757
12	1398	106153
13	1504	105946
14	1608	105603
15	1710	105194
16	1841	106461
17	1948	106297
18	2050	105866
19	2154	105546
20	2252	105017
21	2346	104310
22	2432	103329
23	2518	102426
24	2615	102020
25	2703	101289
26	2799	100877
27	2875	99830
28	2969	99434
29	3057	98869
30	3148	98402
31	3230	97708
32	3314	97115
33	3438	97707
34	3526	97223
35	3624	97069
36	3755	97733
37	3860	97723
38	3966	97737
39	4059	97436
40	4161	97342
41	4256	97088
42	4346	96729
43	4444	96569
44	4533	96215
45	4627	95971
46	4718	95678
47	4814	95486
48	4898	95077
49	4981	94641
50	5071	94360
51	5155	93985
52	5293	94581
53	5398	94579
54	5508	94649
55	5620	94748
56	5730	94798
57	5870	95350
58	5971	95248
59	6073	95148
60	6177	95088
61	6270	94861
62	6379	94878
63	6492	94951
64	6598	94921
65	6697	94778
66	6788	94527
67	6886	94379
68	6978	94154
69	7102	94358
70	7196	94168
71	7287	93931
72	7385	93782
73	7484	93651
74	7566	93315
75	7653	93047
76	7756	92976
77	7846	92745
78	7950	92682
79	8047	92544
80	8143	92392
81	8233	92174
82	8329	92021
83	8424	91867
84	8515	91667
85	8622	91643
86	8723	91542
87	8830	91511
88	8929	91399
89	9049	91498
90	9160	91504
91	9324	92028
92	9434	92016
93	9541	91960
94	9648	91911
95	9748	91799
96	9842	91625
97	9933	91433
98	10028	91272
99	10128	91153
100	10223	90997
101	10315	90815
102	10407	90635
103	10504	90501
104	10600	90354
105	10687	90137
106	10778	89957
107	10873	89808
108	10960	89593
109	11058	89476
110	11156	89352
111	11265	89321
112	11364	89206
113	11477	89201
114	11553	88915
115	11642	88723
116	11729	88522
117	11816	88326
118	11920	88253
119	12040	88293
120	12145	88227
121	12231	88029
122	12333	87938
123	12401	87608
124	12498	87489
125	12595	87365
126	12683	87184
127	12783	87088
128	12894	87064
129	12988	86922
130	13075	86737
131	13162	86555
132	13259	86437
133	13359	86338
134	13452	86192
135	13543	86042
136	13637	85908
137	13751	85897
138	13882	85988
139	13999	85999
140	14109	85957
141	14225	85956
142	14332	85892
143	14430	85779
144	14533	85698
145	14634	85600
146	14741	85542
147	14838	85422
148	14939	85326
149	15035	85200
150	15144	85148
151	15252	85092
152	15358	85025
153	15467	84972
154	15559	84826
155	15655	84699
